bairro,tipo,quartos,banheiros,vagas,area,valor_aluguel
Pinheiros,apto,2,1,1,42.6,5541
Moema,kitnet,1,2,1,56.4,7238
Itaim Bibi,kitnet,2,1,1,77.1,7292
Vila Mariana,kitnet,2,2,0,35.5,6644
Itaim Bibi,casa,3,1,2,71.6,8050
Vila Mariana,casa,3,2,0,46.4,6465
Itaim Bibi,apto,2,1,1,64.8,7262
Tatuapé,kitnet,3,1,2,48.7,5201
Tatuapé,apto,1,1,1,48.7,5598
Vila Mariana,apto,1,1,0,90.5,5463
Moema,apto,1,2,0,31.8,5411
Butantã,casa,3,2,1,69.7,5960
Pinheiros,apto,1,1,1,94.6,6672
Itaim Bibi,apto,2,1,2,73.7,7930
Moema,casa,3,2,0,33.4,6206
Itaim Bibi,kitnet,3,2,1,34.4,7292
Tatuapé,casa,3,1,0,45.0,5337
Moema,kitnet,1,2,1,63.2,7716
Vila Mariana,kitnet,2,2,1,64.5,6455
Tatuapé,kitnet,2,2,0,34.6,4284
Pinheiros,casa,3,2,0,42.5,6288
Tatuapé,kitnet,2,1,0,43.8,3711
Pinheiros,kitnet,2,1,1,56.4,5456
Tatuapé,kitnet,1,2,0,99.7,4245
Tatuapé,casa,1,1,0,41.3,2778
Pinheiros,apto,2,1,0,40.5,6137
Itaim Bibi,casa,1,2,0,37.3,5681
Moema,kitnet,2,1,0,72.7,6905
Itaim Bibi,kitnet,3,2,1,59.2,8083
Pinheiros,casa,2,1,0,42.1,6458
Vila Mariana,apto,2,1,0,52.7,4640
Moema,casa,1,1,0,44.2,5847
Vila Mariana,kitnet,2,1,0,65.9,5723
Vila Mariana,casa,2,2,0,113.7,7665
Tatuapé,casa,1,2,0,71.0,4826
Pinheiros,casa,1,2,2,58.1,6290
Itaim Bibi,apto,3,2,2,46.7,8935
Pinheiros,apto,3,1,0,33.1,5871
Vila Mariana,kitnet,2,1,0,74.7,7436
Tatuapé,apto,3,2,1,73.6,6443
Itaim Bibi,kitnet,1,1,2,50.7,5258
Vila Mariana,apto,1,2,2,84.3,7139
Vila Mariana,casa,3,2,2,60.4,7626
Butantã,casa,1,2,0,75.5,4991
Butantã,kitnet,2,2,1,65.9,5470
Tatuapé,kitnet,1,2,1,56.5,2802
Moema,casa,1,2,1,40.9,4670
Moema,casa,2,2,2,57.1,9031
Tatuapé,kitnet,2,1,0,76.8,4637
Tatuapé,casa,3,1,1,49.8,6068
Vila Mariana,apto,3,2,0,68.8,5681
Pinheiros,casa,2,1,0,38.3,4513
Pinheiros,apto,2,2,0,75.6,7411
Butantã,casa,1,1,2,66.3,4806
Moema,casa,1,2,1,36.0,6509
Moema,apto,1,2,2,55.5,6955
Moema,apto,3,2,2,78.6,8893
Itaim Bibi,kitnet,1,2,1,34.8,5701
Pinheiros,casa,2,1,2,38.6,5002
Pinheiros,apto,3,1,0,58.6,7780
Vila Mariana,kitnet,3,1,2,102.7,9434
Moema,kitnet,2,1,0,46.5,5565
Itaim Bibi,kitnet,1,2,1,69.9,6414
Moema,kitnet,2,2,2,65.2,7678
Moema,kitnet,2,1,2,48.2,7319
Butantã,casa,1,1,0,63.2,4051
Pinheiros,apto,3,2,2,51.0,7831
Tatuapé,kitnet,3,2,0,52.8,5446
Tatuapé,apto,1,2,2,26.8,3812
Moema,apto,1,2,1,59.5,8716
Itaim Bibi,kitnet,1,1,0,78.0,6419
Vila Mariana,kitnet,3,1,2,61.1,8246
Butantã,casa,1,1,2,81.8,6512
Vila Mariana,kitnet,3,1,0,71.6,7051
Tatuapé,kitnet,3,1,0,58.8,3723
Tatuapé,kitnet,2,1,0,47.4,4248
Butantã,apto,2,2,1,50.3,4796
Moema,casa,3,1,1,30.6,6934
Vila Mariana,apto,3,2,2,54.7,6289
Pinheiros,kitnet,1,2,2,62.9,6993
Moema,apto,1,2,0,94.3,8317
Itaim Bibi,kitnet,2,2,1,70.6,8953
Pinheiros,apto,1,2,2,42.7,5475
Butantã,casa,1,1,2,31.2,2989
Tatuapé,apto,3,1,0,55.9,5457
Pinheiros,kitnet,2,2,0,76.2,8292
Vila Mariana,casa,2,2,0,55.6,5923
Tatuapé,kitnet,1,1,1,70.8,4887
Vila Mariana,apto,1,1,1,56.4,4903
Pinheiros,casa,1,1,1,74.3,5627
Tatuapé,kitnet,2,1,0,28.1,4168
Itaim Bibi,kitnet,1,2,1,92.1,7878
Pinheiros,apto,2,1,0,37.8,5655
Vila Mariana,casa,1,2,1,75.9,6482
Vila Mariana,casa,2,2,0,54.6,6115
Tatuapé,casa,2,2,2,57.7,5977
Itaim Bibi,casa,1,1,1,55.2,5773
Itaim Bibi,apto,2,1,0,65.1,6422
Butantã,kitnet,1,1,2,69.2,4940
Itaim Bibi,apto,1,2,2,81.2,7920
Vila Mariana,apto,3,2,0,88.2,7127
Pinheiros,kitnet,3,1,0,66.6,7092
Tatuapé,kitnet,2,1,0,94.3,6355
Butantã,casa,3,2,1,61.9,7206
Butantã,kitnet,2,2,1,81.5,7276
Vila Mariana,casa,1,2,1,68.6,4805
Vila Mariana,casa,3,2,1,49.0,5740
Pinheiros,apto,2,2,1,63.6,6577
Pinheiros,apto,2,1,0,70.1,6366
Tatuapé,casa,2,1,0,59.4,4390
Tatuapé,casa,1,2,2,68.3,4706
Moema,kitnet,3,1,2,77.3,8376
Vila Mariana,casa,2,2,2,59.5,6973
Itaim Bibi,kitnet,2,2,2,20.0,5736
Moema,casa,1,1,1,93.6,9282
Itaim Bibi,apto,3,1,2,54.0,8138
Butantã,kitnet,1,1,2,43.5,5047
Vila Mariana,casa,1,2,2,37.5,4762
Vila Mariana,casa,3,2,0,53.3,6958
Butantã,casa,1,2,0,48.7,4242
Tatuapé,apto,2,2,1,45.3,5543
Vila Mariana,casa,3,2,1,46.4,6432
Tatuapé,casa,3,1,2,70.6,7459
Tatuapé,casa,2,1,0,100.6,4625
Butantã,apto,3,2,2,76.4,7752
Vila Mariana,casa,3,2,2,82.5,8069
Butantã,casa,3,2,2,52.5,5459
Butantã,casa,1,1,0,62.1,5724
Vila Mariana,apto,3,1,0,68.5,8035
Pinheiros,casa,1,1,0,46.8,3245
Tatuapé,apto,3,1,2,51.5,5786
Pinheiros,casa,1,2,2,77.1,7377
Vila Mariana,apto,1,1,1,81.8,6208
Moema,casa,1,1,0,61.3,7353
Butantã,kitnet,2,2,1,36.1,5829
Butantã,kitnet,1,2,2,54.1,5135
Pinheiros,kitnet,1,1,1,31.2,6557
Butantã,kitnet,2,2,0,61.5,5995
Pinheiros,apto,3,2,1,65.1,7272
Itaim Bibi,casa,2,2,1,54.6,7096
Butantã,casa,2,1,1,64.8,6240
Butantã,kitnet,2,2,2,68.3,5416
Vila Mariana,casa,2,2,0,65.1,5826
Butantã,kitnet,2,2,1,36.0,4587
Pinheiros,apto,2,2,2,54.9,7133
Tatuapé,apto,1,1,0,68.2,3991
Moema,apto,1,2,0,91.6,6394
Vila Mariana,casa,3,2,0,54.6,7467
Pinheiros,casa,2,2,1,71.0,6707
Itaim Bibi,apto,1,1,0,77.6,8443
Moema,kitnet,1,2,2,56.1,7225
Tatuapé,kitnet,3,2,0,83.0,7403
Moema,casa,1,2,2,84.0,8326
Moema,apto,1,1,1,87.6,8280
Butantã,kitnet,3,1,2,69.2,6831
Pinheiros,kitnet,2,2,1,107.2,8304
Itaim Bibi,apto,2,2,1,47.7,8205
Itaim Bibi,apto,3,1,0,102.5,10963
Moema,casa,1,1,1,75.4,6645
Vila Mariana,casa,2,1,0,86.8,7040
Pinheiros,apto,3,1,0,53.6,6504
Butantã,kitnet,2,1,2,76.9,6312
Butantã,casa,1,1,2,88.5,5590
Vila Mariana,casa,3,1,0,38.3,3921
Pinheiros,apto,3,2,1,56.7,7142
Pinheiros,kitnet,1,1,0,20.0,4900
Pinheiros,apto,1,2,0,56.4,4981
Itaim Bibi,kitnet,3,1,1,43.7,8247
Butantã,casa,1,1,2,55.6,4716
Pinheiros,kitnet,3,1,0,118.5,8301
Itaim Bibi,apto,1,1,1,94.4,8355
Vila Mariana,apto,3,2,2,31.2,6981
Moema,kitnet,3,1,1,71.1,8470
Tatuapé,kitnet,2,1,0,76.0,5892
Itaim Bibi,casa,1,2,1,53.2,6960
Butantã,apto,2,2,2,63.6,4591
Pinheiros,kitnet,3,1,2,65.5,7163
Vila Mariana,casa,3,1,1,33.1,4349
Vila Mariana,kitnet,1,1,0,39.4,4807
Vila Mariana,kitnet,2,2,2,63.4,7420
Butantã,kitnet,3,2,2,62.0,7313
Itaim Bibi,kitnet,1,1,1,45.8,6566
Vila Mariana,kitnet,3,1,2,44.1,7198
Butantã,casa,1,2,2,58.2,3785
Moema,apto,3,2,0,77.7,8346
Tatuapé,casa,1,2,1,58.5,3422
Moema,kitnet,1,2,1,92.5,7487
Pinheiros,kitnet,2,2,1,46.1,7576
Butantã,casa,2,1,1,63.9,6090
Pinheiros,kitnet,1,1,2,52.9,6217
Vila Mariana,apto,2,2,0,71.8,6207
Vila Mariana,casa,1,2,1,44.4,4336
Vila Mariana,casa,3,1,0,98.5,7606
Pinheiros,kitnet,1,1,1,26.2,5474
Pinheiros,apto,2,2,1,94.3,8057
Itaim Bibi,apto,3,1,0,61.8,6485
Butantã,casa,1,2,2,71.0,5515
Pinheiros,apto,1,1,0,86.7,4570
Vila Mariana,casa,3,1,0,77.2,7458
Tatuapé,casa,1,2,1,45.4,3608
Butantã,kitnet,3,1,2,72.0,5482
Itaim Bibi,kitnet,2,1,0,97.3,8775
Itaim Bibi,apto,3,1,1,42.3,7915
Tatuapé,apto,1,2,1,102.4,6057
Moema,apto,1,2,2,67.7,9085
Vila Mariana,apto,3,1,0,51.3,6548
Butantã,kitnet,3,1,0,42.1,4448
Itaim Bibi,apto,3,1,1,55.5,8281
Pinheiros,apto,1,1,0,20.9,3898
Itaim Bibi,kitnet,2,1,2,51.7,8364
Pinheiros,kitnet,2,2,0,54.7,6467
Itaim Bibi,apto,2,1,1,38.5,6959
Itaim Bibi,apto,1,1,0,75.0,5595
Pinheiros,casa,2,2,2,55.6,6918
Moema,casa,2,1,1,47.3,6674
Pinheiros,kitnet,1,2,0,53.5,4685
Tatuapé,casa,2,2,0,67.1,5036
Butantã,apto,1,2,0,61.5,4893
Pinheiros,casa,1,1,0,46.0,4876
Moema,casa,1,1,2,62.5,5646
Butantã,casa,2,1,1,59.0,4851
Vila Mariana,casa,1,1,2,37.2,4442
Pinheiros,kitnet,2,2,0,54.2,6382
Moema,kitnet,2,2,2,71.6,8216
Tatuapé,apto,3,1,1,71.4,5614
Tatuapé,casa,1,1,1,55.4,3701
Vila Mariana,kitnet,2,2,2,73.5,7060
Butantã,casa,1,1,2,40.4,4882
Tatuapé,casa,2,2,2,41.0,5254
Vila Mariana,apto,2,2,2,55.0,7588
Butantã,apto,3,2,1,90.0,8005
Butantã,kitnet,2,1,2,63.3,6695
Moema,kitnet,3,2,2,54.5,9430
Pinheiros,kitnet,1,1,2,90.9,8077
Tatuapé,apto,1,1,1,54.3,3105
Tatuapé,apto,1,1,0,104.7,5759
Pinheiros,apto,2,2,1,49.8,7368
Tatuapé,casa,1,2,0,39.8,4812
Butantã,casa,1,1,0,56.7,3384
Pinheiros,kitnet,1,1,1,55.0,5976
Itaim Bibi,kitnet,3,2,1,43.8,7976
Pinheiros,apto,3,2,1,112.0,10439
Itaim Bibi,kitnet,1,2,2,66.4,6381
Moema,apto,3,1,2,69.3,7763
Pinheiros,apto,1,1,1,50.8,3874
Butantã,casa,2,1,1,48.4,4869
Pinheiros,apto,1,2,2,80.5,8726
Tatuapé,casa,2,1,0,26.5,3559
Vila Mariana,casa,3,1,2,37.1,6295
Butantã,apto,3,2,2,55.1,6792
Itaim Bibi,casa,2,2,2,87.0,8718
Itaim Bibi,casa,2,1,0,52.5,7068
Moema,kitnet,3,2,1,68.3,8763
Moema,apto,1,2,2,60.6,6440
Tatuapé,apto,2,1,0,85.9,5303
Itaim Bibi,casa,1,1,0,28.3,5943
Butantã,apto,3,1,1,74.7,6984
Pinheiros,kitnet,2,1,1,56.0,7219
Tatuapé,apto,2,1,2,78.5,6023
Pinheiros,casa,2,1,1,43.6,6093
Vila Mariana,kitnet,1,2,2,60.5,6515
Itaim Bibi,apto,1,2,0,57.9,6163
Vila Mariana,apto,3,2,1,40.0,5890
Itaim Bibi,kitnet,1,1,0,34.4,5432
Moema,casa,1,2,0,48.4,5132
Vila Mariana,apto,1,2,0,62.6,5703
Moema,apto,3,2,2,44.9,8885
Tatuapé,kitnet,1,2,1,53.4,3834
Itaim Bibi,kitnet,3,1,0,22.3,6917
Tatuapé,casa,2,2,0,52.6,4274
Butantã,casa,3,2,1,80.5,6001
Butantã,kitnet,2,2,2,74.1,7868
Itaim Bibi,apto,1,1,2,58.3,6046
Tatuapé,apto,2,2,0,64.9,4123
Vila Mariana,kitnet,2,2,2,43.4,6275
Moema,apto,1,2,1,92.5,7989
Pinheiros,kitnet,2,1,2,101.4,8374
Moema,casa,1,1,0,63.3,7800
Butantã,kitnet,3,2,1,111.8,7133
Moema,apto,3,2,2,46.4,7629
Pinheiros,kitnet,1,1,0,35.0,5836
Tatuapé,apto,2,2,2,45.8,5926
Butantã,apto,2,2,0,55.6,5708
Butantã,kitnet,1,1,2,106.2,5615
Vila Mariana,casa,2,1,2,54.4,6932
Moema,kitnet,1,2,2,42.8,7227
Tatuapé,apto,1,2,2,42.0,4513
Vila Mariana,apto,3,2,0,82.8,6916
Vila Mariana,casa,2,2,1,79.9,6984
Vila Mariana,kitnet,3,1,2,50.3,7928
Butantã,casa,2,1,0,22.5,2799
Itaim Bibi,kitnet,3,2,0,37.4,6783
Butantã,kitnet,3,2,0,94.4,6431
Itaim Bibi,kitnet,2,1,2,73.8,7685
Butantã,casa,2,2,0,61.3,5227
Pinheiros,kitnet,2,1,1,97.4,8188
Butantã,casa,3,1,1,99.2,7344
Pinheiros,kitnet,2,1,1,59.3,6327
Moema,casa,2,1,2,59.6,7611
Tatuapé,casa,1,2,2,48.4,5050
Moema,casa,3,2,1,54.3,6684
Pinheiros,casa,2,1,2,30.3,6565
Vila Mariana,kitnet,1,2,0,30.2,3745
Itaim Bibi,kitnet,2,2,2,25.5,6612
Vila Mariana,casa,2,2,0,81.7,6923
Vila Mariana,apto,1,1,0,28.8,3903
Butantã,casa,3,2,0,99.0,7460
Pinheiros,apto,3,1,0,45.4,6375
Butantã,apto,3,1,2,94.7,6911
Butantã,apto,2,2,0,52.7,6204
Tatuapé,casa,1,1,2,28.7,4127
Pinheiros,kitnet,1,1,1,85.7,6612
Pinheiros,casa,3,2,0,88.0,8495
Vila Mariana,casa,1,2,1,41.9,4492
Tatuapé,apto,3,1,0,53.4,6841
Pinheiros,kitnet,3,1,0,41.9,5286
Moema,apto,1,1,1,57.6,6418
Pinheiros,kitnet,3,2,2,62.2,7536
Tatuapé,kitnet,1,2,1,53.0,4130
Pinheiros,kitnet,2,2,0,23.6,4945
Itaim Bibi,apto,2,1,2,48.4,6634
Pinheiros,apto,3,1,2,74.1,8673
Vila Mariana,apto,2,1,0,55.8,4511
Vila Mariana,kitnet,3,1,2,53.5,7490
Itaim Bibi,apto,2,2,2,41.4,7960
Pinheiros,kitnet,3,1,1,47.8,6329
Moema,apto,3,2,0,88.2,9171
Tatuapé,apto,3,2,1,37.2,5190
Tatuapé,apto,2,1,1,74.4,4452
Itaim Bibi,kitnet,2,2,0,60.9,6556
Itaim Bibi,casa,3,2,0,64.9,8771
Moema,casa,3,1,0,45.4,7543
Itaim Bibi,casa,3,1,0,53.0,7683
Vila Mariana,casa,2,1,2,59.9,5883
Butantã,casa,3,1,0,49.6,5035
Tatuapé,casa,3,2,1,66.6,5938
Itaim Bibi,apto,3,2,1,69.1,7277
Butantã,apto,1,1,0,103.5,5453
Itaim Bibi,casa,2,2,2,65.6,8585
Butantã,apto,3,2,2,21.8,5407
Tatuapé,casa,3,1,1,83.3,7713
Pinheiros,apto,3,2,2,55.9,6774
Moema,kitnet,1,1,0,100.2,6778
Vila Mariana,apto,1,1,2,89.4,6489
Butantã,apto,3,1,2,49.9,5992
Vila Mariana,casa,3,2,1,74.4,5912
Vila Mariana,apto,1,2,2,48.1,6026
Vila Mariana,casa,2,1,2,60.1,6400
Tatuapé,apto,3,1,1,73.5,4310
Tatuapé,apto,1,1,0,82.3,4474
Butantã,kitnet,3,2,0,77.9,5790
Moema,kitnet,1,2,0,61.5,6182
Vila Mariana,apto,1,1,0,109.7,5320
Pinheiros,kitnet,3,2,2,52.7,7814
Pinheiros,kitnet,2,2,0,27.9,6845
Moema,casa,2,2,2,31.7,7163
Butantã,casa,3,2,0,89.5,5057
Tatuapé,kitnet,1,2,1,58.5,4782
Butantã,casa,2,2,1,63.2,5440
Pinheiros,casa,2,1,0,49.1,4794
Pinheiros,casa,3,1,0,50.9,6711
Butantã,kitnet,1,2,0,44.3,4732
Pinheiros,kitnet,2,1,0,69.4,5748
Pinheiros,apto,2,2,2,58.1,5627
Moema,casa,2,2,1,68.7,6152
Butantã,kitnet,3,1,2,66.8,5771
Itaim Bibi,apto,2,2,2,51.5,7620
Pinheiros,kitnet,3,1,1,30.8,5712
Butantã,kitnet,3,2,2,29.1,5026
Butantã,kitnet,3,2,0,120.5,8170
Itaim Bibi,apto,3,1,1,89.6,9257
Butantã,casa,2,2,1,86.8,6464
Vila Mariana,casa,1,1,1,46.5,5448
Butantã,casa,3,1,2,60.2,5581
Vila Mariana,kitnet,2,2,2,43.7,5235
Itaim Bibi,casa,1,2,1,33.8,5795
