valor_aluguel,quartos,banheiros,vagas,area,bairro,tipo
5336,1,1,2,42.4,Moema,casa
5004,1,1,2,64.2,Vila Mariana,kitnet
5700,3,2,2,48.2,Butantã,casa
6113,2,1,0,41.5,Moema,apto
7280,1,1,1,86.3,Pinheiros,apto
7741,2,1,2,97.1,Moema,kitnet
8699,1,2,1,55.6,Itaim Bibi,kitnet
5347,1,2,2,66.7,Vila Mariana,casa
6407,2,2,1,61.1,Moema,apto
8157,3,1,2,20.0,Itaim Bibi,apto
6880,1,2,1,67.5,Moema,casa
6069,2,1,2,45.5,Vila Mariana,apto
5725,3,1,1,20.0,Vila Mariana,apto
5193,3,1,0,52.8,Tatuapé,kitnet
8072,3,1,1,97.0,Itaim Bibi,casa
6299,1,2,0,75.8,Moema,casa
7872,1,2,0,84.0,Pinheiros,apto
8077,1,1,1,59.7,Itaim Bibi,casa
4063,1,1,1,62.4,Tatuapé,casa
5204,1,2,1,25.7,Itaim Bibi,casa
6093,2,1,1,45.7,Pinheiros,kitnet
7195,2,2,1,78.1,Vila Mariana,apto
7517,2,1,0,61.2,Itaim Bibi,apto
4899,1,2,0,67.3,Itaim Bibi,casa
9706,1,2,2,62.7,Moema,kitnet
4983,2,1,2,51.4,Butantã,apto
7188,1,2,1,92.1,Moema,kitnet
6370,3,1,0,62.7,Butantã,casa
8013,3,1,1,93.9,Vila Mariana,apto
6239,3,1,2,35.5,Vila Mariana,casa
7377,1,1,2,63.7,Itaim Bibi,apto
4674,2,2,0,52.1,Tatuapé,kitnet
7705,3,1,2,62.8,Pinheiros,apto
9315,3,1,1,84.4,Itaim Bibi,casa
5802,1,2,0,67.6,Vila Mariana,casa
9365,3,2,1,84.4,Itaim Bibi,apto
7112,2,2,0,46.6,Pinheiros,casa
5629,2,2,0,43.5,Itaim Bibi,apto
6971,2,1,2,60.3,Itaim Bibi,casa
8698,3,2,2,59.2,Itaim Bibi,kitnet
3505,1,1,1,56.3,Tatuapé,kitnet
6908,2,2,2,40.8,Moema,apto
5963,2,2,1,52.7,Vila Mariana,casa
6092,1,2,0,88.5,Itaim Bibi,kitnet
3869,1,1,1,60.3,Tatuapé,kitnet
7236,2,1,0,73.0,Moema,apto
6666,3,2,2,71.2,Tatuapé,apto
4850,2,1,1,43.5,Tatuapé,apto
8300,3,2,2,67.3,Pinheiros,apto
8046,2,2,2,98.6,Pinheiros,casa
5097,2,1,1,65.0,Vila Mariana,kitnet
6488,1,2,2,78.0,Pinheiros,apto
7718,2,2,2,73.9,Moema,kitnet
7256,1,2,2,66.1,Itaim Bibi,casa
5965,3,1,0,63.7,Tatuapé,casa
7052,1,1,1,70.9,Moema,kitnet
7217,3,1,2,75.3,Butantã,apto
3381,1,1,2,33.0,Tatuapé,kitnet
7655,2,1,1,64.9,Pinheiros,apto
6728,1,1,0,56.3,Itaim Bibi,casa
3755,1,1,0,52.2,Tatuapé,kitnet
6860,3,1,1,85.9,Tatuapé,casa
3620,1,2,1,45.3,Tatuapé,apto
3076,2,2,2,32.1,Tatuapé,casa
7092,3,2,0,75.9,Pinheiros,casa
4646,2,1,1,31.6,Tatuapé,apto
5607,1,2,0,21.4,Itaim Bibi,kitnet
7035,2,2,2,78.2,Vila Mariana,apto
4017,2,1,0,63.2,Tatuapé,casa
4419,1,2,0,69.5,Pinheiros,casa
6974,1,1,0,51.2,Moema,apto
6203,2,2,0,32.3,Moema,kitnet
4045,2,1,1,36.3,Butantã,casa
4899,1,2,1,54.6,Vila Mariana,apto
6140,2,1,1,34.6,Vila Mariana,casa
8689,2,2,2,66.1,Moema,casa
3749,1,2,1,50.8,Butantã,casa
5843,2,1,0,63.7,Butantã,kitnet
6977,3,1,1,63.1,Pinheiros,casa
5944,2,1,2,67.7,Vila Mariana,kitnet
7365,2,1,1,70.0,Itaim Bibi,casa
5867,3,1,0,53.1,Pinheiros,casa
4854,2,2,2,63.7,Butantã,apto
6663,1,2,2,64.7,Vila Mariana,casa
3823,2,2,0,20.0,Butantã,apto
7182,2,2,1,72.9,Vila Mariana,kitnet
7820,2,2,1,63.0,Moema,kitnet
4677,1,1,0,71.3,Tatuapé,kitnet
3291,1,2,0,34.3,Pinheiros,kitnet
4317,2,1,2,53.7,Tatuapé,apto
5801,3,2,1,38.2,Tatuapé,apto
7727,3,1,2,74.9,Itaim Bibi,kitnet
5255,3,1,1,31.9,Butantã,casa
8134,2,2,2,70.7,Moema,apto
8110,2,2,0,47.4,Moema,kitnet
7563,2,2,1,41.4,Moema,casa
6063,2,1,0,78.1,Itaim Bibi,apto
7247,2,2,0,79.0,Vila Mariana,kitnet
7791,1,2,2,74.4,Vila Mariana,apto
7641,3,2,1,55.4,Pinheiros,apto
4786,1,2,1,55.9,Pinheiros,casa
6559,2,1,2,47.0,Pinheiros,casa
8677,2,1,1,63.4,Itaim Bibi,kitnet
7834,3,1,2,49.4,Itaim Bibi,casa
9275,3,2,2,51.3,Itaim Bibi,apto
7488,2,2,2,72.0,Moema,apto
9709,3,2,2,83.7,Itaim Bibi,apto
5347,3,2,0,68.0,Pinheiros,casa
5816,3,1,0,95.9,Butantã,apto
3772,1,1,1,45.9,Tatuapé,casa
4407,3,1,1,23.2,Butantã,kitnet
5988,2,1,2,74.3,Pinheiros,kitnet
6237,1,2,2,44.6,Moema,casa
8200,3,2,0,54.5,Itaim Bibi,kitnet
6769,3,2,0,24.6,Moema,kitnet
6709,2,2,0,42.0,Moema,casa
5984,2,1,1,30.0,Pinheiros,kitnet
6965,2,2,1,51.3,Moema,apto
5751,1,1,0,52.1,Vila Mariana,kitnet
6563,3,2,2,61.8,Vila Mariana,apto
8986,1,2,0,84.8,Itaim Bibi,kitnet
6597,2,2,1,73.5,Tatuapé,kitnet
3642,1,2,2,27.6,Tatuapé,casa
7633,3,1,0,72.2,Moema,apto
6732,3,2,2,62.2,Butantã,casa
7420,2,2,2,58.0,Pinheiros,casa
8662,2,2,2,59.5,Moema,kitnet
5750,3,1,0,64.1,Pinheiros,kitnet
7735,3,1,1,46.2,Moema,casa
4097,3,2,0,56.4,Butantã,kitnet
6969,1,1,1,83.7,Moema,casa
6541,2,2,2,45.9,Butantã,casa
6348,3,1,2,39.4,Moema,kitnet
5984,1,2,2,58.8,Itaim Bibi,kitnet
7298,3,1,1,37.4,Moema,casa
5976,1,2,2,25.5,Vila Mariana,casa
8354,3,1,2,53.1,Itaim Bibi,kitnet
5145,2,2,2,89.0,Butantã,kitnet
5530,3,1,2,59.2,Vila Mariana,casa
8585,3,2,1,63.6,Itaim Bibi,apto
7772,2,2,0,68.8,Itaim Bibi,apto
8913,3,2,2,61.9,Itaim Bibi,casa
5709,1,2,0,46.7,Moema,casa
9260,3,1,0,63.6,Itaim Bibi,kitnet
6074,1,1,2,63.4,Vila Mariana,apto
6634,2,1,1,38.8,Pinheiros,kitnet
7536,2,1,2,66.6,Pinheiros,casa
8498,3,2,0,83.9,Moema,apto
5908,3,2,1,55.4,Butantã,casa
5541,2,1,1,42.6,Pinheiros,apto
7238,1,2,1,56.4,Moema,kitnet
7292,2,1,1,77.1,Itaim Bibi,kitnet
6644,2,2,0,35.5,Vila Mariana,kitnet
8050,3,1,2,71.6,Itaim Bibi,casa
6465,3,2,0,46.4,Vila Mariana,casa
7262,2,1,1,64.8,Itaim Bibi,apto
5201,3,1,2,48.7,Tatuapé,kitnet
5598,1,1,1,48.7,Tatuapé,apto
5463,1,1,0,90.5,Vila Mariana,apto
5411,1,2,0,31.8,Moema,apto
5960,3,2,1,69.7,Butantã,casa
6672,1,1,1,94.6,Pinheiros,apto
7930,2,1,2,73.7,Itaim Bibi,apto
6206,3,2,0,33.4,Moema,casa
7292,3,2,1,34.4,Itaim Bibi,kitnet
5337,3,1,0,45.0,Tatuapé,casa
7716,1,2,1,63.2,Moema,kitnet
6455,2,2,1,64.5,Vila Mariana,kitnet
4284,2,2,0,34.6,Tatuapé,kitnet
6288,3,2,0,42.5,Pinheiros,casa
3711,2,1,0,43.8,Tatuapé,kitnet
5456,2,1,1,56.4,Pinheiros,kitnet
4245,1,2,0,99.7,Tatuapé,kitnet
6137,2,1,0,40.5,Pinheiros,apto
5681,1,2,0,37.3,Itaim Bibi,casa
6905,2,1,0,72.7,Moema,kitnet
8083,3,2,1,59.2,Itaim Bibi,kitnet
6458,2,1,0,42.1,Pinheiros,casa
4640,2,1,0,52.7,Vila Mariana,apto
5847,1,1,0,44.2,Moema,casa
5723,2,1,0,65.9,Vila Mariana,kitnet
7665,2,2,0,113.7,Vila Mariana,casa
4826,1,2,0,71.0,Tatuapé,casa
6290,1,2,2,58.1,Pinheiros,casa
8935,3,2,2,46.7,Itaim Bibi,apto
5871,3,1,0,33.1,Pinheiros,apto
7436,2,1,0,74.7,Vila Mariana,kitnet
6443,3,2,1,73.6,Tatuapé,apto
5258,1,1,2,50.7,Itaim Bibi,kitnet
7139,1,2,2,84.3,Vila Mariana,apto
7626,3,2,2,60.4,Vila Mariana,casa
4991,1,2,0,75.5,Butantã,casa
5470,2,2,1,65.9,Butantã,kitnet
4670,1,2,1,40.9,Moema,casa
9031,2,2,2,57.1,Moema,casa
4637,2,1,0,76.8,Tatuapé,kitnet
6068,3,1,1,49.8,Tatuapé,casa
5681,3,2,0,68.8,Vila Mariana,apto
4513,2,1,0,38.3,Pinheiros,casa
7411,2,2,0,75.6,Pinheiros,apto
4806,1,1,2,66.3,Butantã,casa
6509,1,2,1,36.0,Moema,casa
6955,1,2,2,55.5,Moema,apto
8893,3,2,2,78.6,Moema,apto
5701,1,2,1,34.8,Itaim Bibi,kitnet
5002,2,1,2,38.6,Pinheiros,casa
7780,3,1,0,58.6,Pinheiros,apto
9434,3,1,2,102.7,Vila Mariana,kitnet
5565,2,1,0,46.5,Moema,kitnet
6414,1,2,1,69.9,Itaim Bibi,kitnet
7678,2,2,2,65.2,Moema,kitnet
7319,2,1,2,48.2,Moema,kitnet
4051,1,1,0,63.2,Butantã,casa
7831,3,2,2,51.0,Pinheiros,apto
5446,3,2,0,52.8,Tatuapé,kitnet
3812,1,2,2,26.8,Tatuapé,apto
8716,1,2,1,59.5,Moema,apto
6419,1,1,0,78.0,Itaim Bibi,kitnet
8246,3,1,2,61.1,Vila Mariana,kitnet
6512,1,1,2,81.8,Butantã,casa
7051,3,1,0,71.6,Vila Mariana,kitnet
3723,3,1,0,58.8,Tatuapé,kitnet
4248,2,1,0,47.4,Tatuapé,kitnet
4796,2,2,1,50.3,Butantã,apto
6934,3,1,1,30.6,Moema,casa
6289,3,2,2,54.7,Vila Mariana,apto
6993,1,2,2,62.9,Pinheiros,kitnet
8317,1,2,0,94.3,Moema,apto
8953,2,2,1,70.6,Itaim Bibi,kitnet
5475,1,2,2,42.7,Pinheiros,apto
5457,3,1,0,55.9,Tatuapé,apto
8292,2,2,0,76.2,Pinheiros,kitnet
5923,2,2,0,55.6,Vila Mariana,casa
4887,1,1,1,70.8,Tatuapé,kitnet
4903,1,1,1,56.4,Vila Mariana,apto
5627,1,1,1,74.3,Pinheiros,casa
4168,2,1,0,28.1,Tatuapé,kitnet
7878,1,2,1,92.1,Itaim Bibi,kitnet
5655,2,1,0,37.8,Pinheiros,apto
6482,1,2,1,75.9,Vila Mariana,casa
6115,2,2,0,54.6,Vila Mariana,casa
5977,2,2,2,57.7,Tatuapé,casa
5773,1,1,1,55.2,Itaim Bibi,casa
6422,2,1,0,65.1,Itaim Bibi,apto
4940,1,1,2,69.2,Butantã,kitnet
7920,1,2,2,81.2,Itaim Bibi,apto
7127,3,2,0,88.2,Vila Mariana,apto
7092,3,1,0,66.6,Pinheiros,kitnet
6355,2,1,0,94.3,Tatuapé,kitnet
7206,3,2,1,61.9,Butantã,casa
7276,2,2,1,81.5,Butantã,kitnet
4805,1,2,1,68.6,Vila Mariana,casa
5740,3,2,1,49.0,Vila Mariana,casa
6577,2,2,1,63.6,Pinheiros,apto
6366,2,1,0,70.1,Pinheiros,apto
4390,2,1,0,59.4,Tatuapé,casa
4706,1,2,2,68.3,Tatuapé,casa
8376,3,1,2,77.3,Moema,kitnet
6973,2,2,2,59.5,Vila Mariana,casa
5736,2,2,2,20.0,Itaim Bibi,kitnet
9282,1,1,1,93.6,Moema,casa
8138,3,1,2,54.0,Itaim Bibi,apto
5047,1,1,2,43.5,Butantã,kitnet
4762,1,2,2,37.5,Vila Mariana,casa
6958,3,2,0,53.3,Vila Mariana,casa
4242,1,2,0,48.7,Butantã,casa
5543,2,2,1,45.3,Tatuapé,apto
6432,3,2,1,46.4,Vila Mariana,casa
7459,3,1,2,70.6,Tatuapé,casa
4625,2,1,0,100.6,Tatuapé,casa
7752,3,2,2,76.4,Butantã,apto
8069,3,2,2,82.5,Vila Mariana,casa
5459,3,2,2,52.5,Butantã,casa
5724,1,1,0,62.1,Butantã,casa
8035,3,1,0,68.5,Vila Mariana,apto
3245,1,1,0,46.8,Pinheiros,casa
5786,3,1,2,51.5,Tatuapé,apto
7377,1,2,2,77.1,Pinheiros,casa
6208,1,1,1,81.8,Vila Mariana,apto
7353,1,1,0,61.3,Moema,casa
5829,2,2,1,36.1,Butantã,kitnet
5135,1,2,2,54.1,Butantã,kitnet
6557,1,1,1,31.2,Pinheiros,kitnet
5995,2,2,0,61.5,Butantã,kitnet
7272,3,2,1,65.1,Pinheiros,apto
7096,2,2,1,54.6,Itaim Bibi,casa
6240,2,1,1,64.8,Butantã,casa
5416,2,2,2,68.3,Butantã,kitnet
5826,2,2,0,65.1,Vila Mariana,casa
4587,2,2,1,36.0,Butantã,kitnet
7133,2,2,2,54.9,Pinheiros,apto
3991,1,1,0,68.2,Tatuapé,apto
6394,1,2,0,91.6,Moema,apto
7467,3,2,0,54.6,Vila Mariana,casa
6707,2,2,1,71.0,Pinheiros,casa
8443,1,1,0,77.6,Itaim Bibi,apto
7225,1,2,2,56.1,Moema,kitnet
7403,3,2,0,83.0,Tatuapé,kitnet
8326,1,2,2,84.0,Moema,casa
8280,1,1,1,87.6,Moema,apto
6831,3,1,2,69.2,Butantã,kitnet
8304,2,2,1,107.2,Pinheiros,kitnet
8205,2,2,1,47.7,Itaim Bibi,apto
6645,1,1,1,75.4,Moema,casa
7040,2,1,0,86.8,Vila Mariana,casa
6504,3,1,0,53.6,Pinheiros,apto
6312,2,1,2,76.9,Butantã,kitnet
5590,1,1,2,88.5,Butantã,casa
3921,3,1,0,38.3,Vila Mariana,casa
7142,3,2,1,56.7,Pinheiros,apto
4900,1,1,0,20.0,Pinheiros,kitnet
4981,1,2,0,56.4,Pinheiros,apto
8247,3,1,1,43.7,Itaim Bibi,kitnet
4716,1,1,2,55.6,Butantã,casa
8301,3,1,0,118.5,Pinheiros,kitnet
8355,1,1,1,94.4,Itaim Bibi,apto
6981,3,2,2,31.2,Vila Mariana,apto
8470,3,1,1,71.1,Moema,kitnet
5892,2,1,0,76.0,Tatuapé,kitnet
6960,1,2,1,53.2,Itaim Bibi,casa
4591,2,2,2,63.6,Butantã,apto
7163,3,1,2,65.5,Pinheiros,kitnet
4349,3,1,1,33.1,Vila Mariana,casa
4807,1,1,0,39.4,Vila Mariana,kitnet
7420,2,2,2,63.4,Vila Mariana,kitnet
7313,3,2,2,62.0,Butantã,kitnet
6566,1,1,1,45.8,Itaim Bibi,kitnet
7198,3,1,2,44.1,Vila Mariana,kitnet
3785,1,2,2,58.2,Butantã,casa
8346,3,2,0,77.7,Moema,apto
3422,1,2,1,58.5,Tatuapé,casa
7487,1,2,1,92.5,Moema,kitnet
7576,2,2,1,46.1,Pinheiros,kitnet
6090,2,1,1,63.9,Butantã,casa
6217,1,1,2,52.9,Pinheiros,kitnet
6207,2,2,0,71.8,Vila Mariana,apto
4336,1,2,1,44.4,Vila Mariana,casa
7606,3,1,0,98.5,Vila Mariana,casa
5474,1,1,1,26.2,Pinheiros,kitnet
8057,2,2,1,94.3,Pinheiros,apto
6485,3,1,0,61.8,Itaim Bibi,apto
5515,1,2,2,71.0,Butantã,casa
4570,1,1,0,86.7,Pinheiros,apto
7458,3,1,0,77.2,Vila Mariana,casa
3608,1,2,1,45.4,Tatuapé,casa
5482,3,1,2,72.0,Butantã,kitnet
8775,2,1,0,97.3,Itaim Bibi,kitnet
7915,3,1,1,42.3,Itaim Bibi,apto
6057,1,2,1,102.4,Tatuapé,apto
9085,1,2,2,67.7,Moema,apto
6548,3,1,0,51.3,Vila Mariana,apto
4448,3,1,0,42.1,Butantã,kitnet
8281,3,1,1,55.5,Itaim Bibi,apto
3898,1,1,0,20.9,Pinheiros,apto
8364,2,1,2,51.7,Itaim Bibi,kitnet
6467,2,2,0,54.7,Pinheiros,kitnet
6959,2,1,1,38.5,Itaim Bibi,apto
5595,1,1,0,75.0,Itaim Bibi,apto
6918,2,2,2,55.6,Pinheiros,casa
6674,2,1,1,47.3,Moema,casa
4685,1,2,0,53.5,Pinheiros,kitnet
5036,2,2,0,67.1,Tatuapé,casa
4893,1,2,0,61.5,Butantã,apto
4876,1,1,0,46.0,Pinheiros,casa
5646,1,1,2,62.5,Moema,casa
4851,2,1,1,59.0,Butantã,casa
4442,1,1,2,37.2,Vila Mariana,casa
6382,2,2,0,54.2,Pinheiros,kitnet
8216,2,2,2,71.6,Moema,kitnet
5614,3,1,1,71.4,Tatuapé,apto
3701,1,1,1,55.4,Tatuapé,casa
7060,2,2,2,73.5,Vila Mariana,kitnet
4882,1,1,2,40.4,Butantã,casa
5254,2,2,2,41.0,Tatuapé,casa
7588,2,2,2,55.0,Vila Mariana,apto
8005,3,2,1,90.0,Butantã,apto
6695,2,1,2,63.3,Butantã,kitnet
9430,3,2,2,54.5,Moema,kitnet
8077,1,1,2,90.9,Pinheiros,kitnet
3105,1,1,1,54.3,Tatuapé,apto
5759,1,1,0,104.7,Tatuapé,apto
7368,2,2,1,49.8,Pinheiros,apto
4812,1,2,0,39.8,Tatuapé,casa
3384,1,1,0,56.7,Butantã,casa
5976,1,1,1,55.0,Pinheiros,kitnet
7976,3,2,1,43.8,Itaim Bibi,kitnet
6381,1,2,2,66.4,Itaim Bibi,kitnet
7763,3,1,2,69.3,Moema,apto
3874,1,1,1,50.8,Pinheiros,apto
4869,2,1,1,48.4,Butantã,casa
8726,1,2,2,80.5,Pinheiros,apto
3559,2,1,0,26.5,Tatuapé,casa
6295,3,1,2,37.1,Vila Mariana,casa
6792,3,2,2,55.1,Butantã,apto
8718,2,2,2,87.0,Itaim Bibi,casa
7068,2,1,0,52.5,Itaim Bibi,casa
8763,3,2,1,68.3,Moema,kitnet
6440,1,2,2,60.6,Moema,apto
5303,2,1,0,85.9,Tatuapé,apto
5943,1,1,0,28.3,Itaim Bibi,casa
6984,3,1,1,74.7,Butantã,apto
7219,2,1,1,56.0,Pinheiros,kitnet
6023,2,1,2,78.5,Tatuapé,apto
6093,2,1,1,43.6,Pinheiros,casa
6515,1,2,2,60.5,Vila Mariana,kitnet
6163,1,2,0,57.9,Itaim Bibi,apto
5890,3,2,1,40.0,Vila Mariana,apto
5432,1,1,0,34.4,Itaim Bibi,kitnet
5132,1,2,0,48.4,Moema,casa
5703,1,2,0,62.6,Vila Mariana,apto
8885,3,2,2,44.9,Moema,apto
3834,1,2,1,53.4,Tatuapé,kitnet
6917,3,1,0,22.3,Itaim Bibi,kitnet
4274,2,2,0,52.6,Tatuapé,casa
6001,3,2,1,80.5,Butantã,casa
7868,2,2,2,74.1,Butantã,kitnet
6046,1,1,2,58.3,Itaim Bibi,apto
4123,2,2,0,64.9,Tatuapé,apto
6275,2,2,2,43.4,Vila Mariana,kitnet
7989,1,2,1,92.5,Moema,apto
8374,2,1,2,101.4,Pinheiros,kitnet
7800,1,1,0,63.3,Moema,casa
7133,3,2,1,111.8,Butantã,kitnet
7629,3,2,2,46.4,Moema,apto
5836,1,1,0,35.0,Pinheiros,kitnet
5926,2,2,2,45.8,Tatuapé,apto
5708,2,2,0,55.6,Butantã,apto
5615,1,1,2,106.2,Butantã,kitnet
6932,2,1,2,54.4,Vila Mariana,casa
7227,1,2,2,42.8,Moema,kitnet
4513,1,2,2,42.0,Tatuapé,apto
6916,3,2,0,82.8,Vila Mariana,apto
6984,2,2,1,79.9,Vila Mariana,casa
7928,3,1,2,50.3,Vila Mariana,kitnet
6783,3,2,0,37.4,Itaim Bibi,kitnet
6431,3,2,0,94.4,Butantã,kitnet
7685,2,1,2,73.8,Itaim Bibi,kitnet
5227,2,2,0,61.3,Butantã,casa
8188,2,1,1,97.4,Pinheiros,kitnet
7344,3,1,1,99.2,Butantã,casa
6327,2,1,1,59.3,Pinheiros,kitnet
7611,2,1,2,59.6,Moema,casa
5050,1,2,2,48.4,Tatuapé,casa
6684,3,2,1,54.3,Moema,casa
6565,2,1,2,30.3,Pinheiros,casa
3745,1,2,0,30.2,Vila Mariana,kitnet
6612,2,2,2,25.5,Itaim Bibi,kitnet
6923,2,2,0,81.7,Vila Mariana,casa
3903,1,1,0,28.8,Vila Mariana,apto
7460,3,2,0,99.0,Butantã,casa
6375,3,1,0,45.4,Pinheiros,apto
6911,3,1,2,94.7,Butantã,apto
6204,2,2,0,52.7,Butantã,apto
4127,1,1,2,28.7,Tatuapé,casa
6612,1,1,1,85.7,Pinheiros,kitnet
8495,3,2,0,88.0,Pinheiros,casa
4492,1,2,1,41.9,Vila Mariana,casa
6841,3,1,0,53.4,Tatuapé,apto
5286,3,1,0,41.9,Pinheiros,kitnet
6418,1,1,1,57.6,Moema,apto
7536,3,2,2,62.2,Pinheiros,kitnet
4130,1,2,1,53.0,Tatuapé,kitnet
4945,2,2,0,23.6,Pinheiros,kitnet
6634,2,1,2,48.4,Itaim Bibi,apto
8673,3,1,2,74.1,Pinheiros,apto
4511,2,1,0,55.8,Vila Mariana,apto
7490,3,1,2,53.5,Vila Mariana,kitnet
7960,2,2,2,41.4,Itaim Bibi,apto
6329,3,1,1,47.8,Pinheiros,kitnet
9171,3,2,0,88.2,Moema,apto
5190,3,2,1,37.2,Tatuapé,apto
4452,2,1,1,74.4,Tatuapé,apto
6556,2,2,0,60.9,Itaim Bibi,kitnet
8771,3,2,0,64.9,Itaim Bibi,casa
7543,3,1,0,45.4,Moema,casa
7683,3,1,0,53.0,Itaim Bibi,casa
5883,2,1,2,59.9,Vila Mariana,casa
5035,3,1,0,49.6,Butantã,casa
5938,3,2,1,66.6,Tatuapé,casa
7277,3,2,1,69.1,Itaim Bibi,apto
5453,1,1,0,103.5,Butantã,apto
8585,2,2,2,65.6,Itaim Bibi,casa
5407,3,2,2,21.8,Butantã,apto
7713,3,1,1,83.3,Tatuapé,casa
6774,3,2,2,55.9,Pinheiros,apto
6778,1,1,0,100.2,Moema,kitnet
6489,1,1,2,89.4,Vila Mariana,apto
5992,3,1,2,49.9,Butantã,apto
5912,3,2,1,74.4,Vila Mariana,casa
6026,1,2,2,48.1,Vila Mariana,apto
6400,2,1,2,60.1,Vila Mariana,casa
4310,3,1,1,73.5,Tatuapé,apto
4474,1,1,0,82.3,Tatuapé,apto
5790,3,2,0,77.9,Butantã,kitnet
6182,1,2,0,61.5,Moema,kitnet
5320,1,1,0,109.7,Vila Mariana,apto
7814,3,2,2,52.7,Pinheiros,kitnet
6845,2,2,0,27.9,Pinheiros,kitnet
7163,2,2,2,31.7,Moema,casa
5057,3,2,0,89.5,Butantã,casa
4782,1,2,1,58.5,Tatuapé,kitnet
5440,2,2,1,63.2,Butantã,casa
4794,2,1,0,49.1,Pinheiros,casa
6711,3,1,0,50.9,Pinheiros,casa
4732,1,2,0,44.3,Butantã,kitnet
5748,2,1,0,69.4,Pinheiros,kitnet
5627,2,2,2,58.1,Pinheiros,apto
6152,2,2,1,68.7,Moema,casa
5771,3,1,2,66.8,Butantã,kitnet
7620,2,2,2,51.5,Itaim Bibi,apto
5712,3,1,1,30.8,Pinheiros,kitnet
5026,3,2,2,29.1,Butantã,kitnet
8170,3,2,0,120.5,Butantã,kitnet
9257,3,1,1,89.6,Itaim Bibi,apto
6464,2,2,1,86.8,Butantã,casa
5448,1,1,1,46.5,Vila Mariana,casa
5581,3,1,2,60.2,Butantã,casa
5235,2,2,2,43.7,Vila Mariana,kitnet
5795,1,2,1,33.8,Itaim Bibi,casa
3074,1,1,0,48.2,Tatuapé,casa
5755,1,1,1,86.5,Itaim Bibi,kitnet
5968,3,1,2,76.8,Tatuapé,kitnet
4802,1,1,2,40.6,Tatuapé,kitnet
6752,3,2,2,53.7,Tatuapé,casa
7870,2,1,0,75.0,Itaim Bibi,kitnet
6463,1,2,0,48.6,Itaim Bibi,apto
7907,2,2,1,61.6,Pinheiros,casa
7793,3,2,1,68.0,Itaim Bibi,casa
5063,3,1,1,67.8,Tatuapé,apto
7652,2,2,2,65.1,Vila Mariana,casa
4530,2,1,1,46.9,Tatuapé,casa
3532,1,1,1,49.0,Butantã,casa
